Name,Latitude,Longitude
Gallivan Blvd at Adams St,42.28297568,-71.05466698
Geiger Gibson Community Health Center,42.31886468,-71.04536798
Gilman Square T at Medford St,42.3867355,-71.0946444
Glendale Square (Ferry St at Broadway),42.41427294,-71.04479656
Glendon St at Condor St,42.38240378,-71.03024304
Goodhue St at Grove St,42.520897,-70.910528
Gore Street at Lambert Street,42.3730798,-71.08634234
Gove St at Orleans St,42.37057753,-71.0355854
Government Center - Cambridge St at Court St,42.3598254,-71.05979576
Graham and Parks School ? Linnaean St at Walker St,42.3829443,-71.12449831
Green Street T Stop - Green St at Amory St,42.310579,-71.107341
Grove Hall Library - 41 Geneva Ave,42.30791,-71.080952
Grove St at Community Path,42.39638681,-71.12011306
Hale Park,42.4206487,-71.0437126
Harrison Ave at Bennet St,42.3494261,-71.0620996
Harrison Ave at E. Dedham St,42.339194,-71.06975
Harrison Ave at Mullins Way,42.34521562,-71.06384031
Harvard Ave at Brainerd Rd,42.34953017,-71.13022771
Harvard Kennedy School at Bennett St / Eliot St,42.3722168,-71.12188071
Harvard Law School at Mass Ave / Jarvis St,42.379011,-71.119945
Harvard Square at Brattle St / Eliot St,42.3733288,-71.12098601
Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579
Harvard St and Stedman St,42.34435176,-71.12490356
Harvard St at Greene-Rose Heritage Park,42.36599433,-71.09522222
Harvard Stadium: N. Harvard St at Soldiers Field Rd,42.368019,-71.1242
Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945,-71.116865
Harvard University Gund Hall at Quincy St / Kirkland St,42.376369,-71.114025
Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214
Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107
Harvard University River Houses at DeWolfe St / Cowperthwaite St,42.36923907,-71.11687034
Hawthorne Boulevard,42.5223714,-70.8903331
Hayes Square - Vine St at Moulton St,42.377022,-71.056605
High St at Cypress St,42.32464511,-71.12135231
HMS/HSPH - Avenue Louis Pasteur at Longwood Ave,42.33741748,-71.10286117
Honan Library,42.3602737,-71.12852452
Hood Park,42.38004535,-71.07304573
Huntington Ave at Mass Art,42.33658555,-71.09886996
Huron Ave At Vassal Lane,42.38165061,-71.13426981
Hyde Park Ave at Arlington St,42.26286746,-71.12163126
Hyde Park Ave at Walk Hill St,42.29606705,-71.116012
Hyde Park Library,42.2568376,-71.122509
Hyde Square - Barbara St at Centre St,42.32176526,-71.10984161
ID Building East,42.344827,-71.028664
ID Building West,42.344796,-71.031614
Ink Block - Harrison Ave at Herald St,42.345901,-71.063187
Inman Square at Springfield St.,42.37426714,-71.10026479
Innovation Lab - 125 Western Ave at Batten Way,42.36371276,-71.12459779
Jackson Square T Stop,42.32293117,-71.10014141
Jamaica St at South St,42.30604563,-71.11570891
JFK Crossing at Harvard St. / Thorndike St.,42.34655124,-71.12833211
JFK/UMass T Stop,42.32033974,-71.05118036
Kearins Playground,42.40616124,-71.06041655
Kendall Street,42.36356016,-71.08216792
Kendall T,42.36242784,-71.08495474
Kenmore Square,42.348706,-71.097009
Kennedy-Longfellow School 158 Spring St,42.36955298,-71.08579015
Knoll St at Centre St,42.29376656,-71.1365658
Lafayette at Leach St,42.51142784,-70.89183301
Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469,-71.10057324
Landmark Center - Brookline Ave at Park Dr,42.34369056,-71.10235287
Langley Lot,42.330528,-71.192861
Lansdowne T Stop,42.34734473,-71.10016808
Lechmere Station at Cambridge St / First St,42.370677,-71.076529
Lesley University,42.38674802,-71.11901879
Lewis Wharf at Atlantic Ave,42.363871,-71.050877
Linear Park - Mass. Ave. at Cameron Ave.,42.397828,-71.130516
Linwood St at Minuteman Bikeway,42.40935396,-71.14906519
Longwood Ave at Binney St,42.338629,-71.1065
Lower Cambridgeport at Magazine St / Riverside Rd,42.3572185,-71.11387163
Magoun Square at Trum Field,42.3977834,-71.10594004
Main St at Austin St,42.375603,-71.064608
Main St at Baldwin St,42.380857,-71.070629
Main St at Brooks Park,42.411709,-71.110444
Main St at Thompson Sq,42.37487847,-71.06383499
Main Street/Albany Street/Technology Square,42.3629016,-71.0915669
Malden Center T Station,42.426541,-71.073179
Marion St at Harvard St,42.34012243,-71.12070564
Marion St at White St,42.38066931,-71.03907316
Martha Eliot Health Center,42.324173,-71.10196
Mass Ave at Albany St,42.36135838,-71.09670274
